0,1,2
9108001,252,1
9108002,8,0
9108003,28,0
9108004,434,1
9108005,117,1
9108006,101,1
9108007,94,1
9108008,1,0
9108009,26,0
9108010,1,0
9108011,103,1
9108013,104,1
9108014,32,0
9108015,5,0
9108016,1434,1
9108017,31,0
9108018,116,1
9108019,366,1
9108020,58,1
9108021,3,0
9108022,2,0
9108023,33,0
9108024,20,0
9108025,21,0
9108026,17,0
9108027,23,0
9108028,966,1
9109001,41,0
9109002,91,1
9109003,6,0
9109004,9,0
9109005,210,1
9109006,73,1
9109007,95,1
9109008,0,0
9109009,7,0
9109010,7,0
9109011,9,0
9109012,19,0
9109013,2,0
9109014,2,0
9109015,68,1
9109016,11,0
9109017,18,0
9109018,17,0
9109019,60,1
9109020,2,0
9109021,67,1
9109022,7,0
9109023,27,0
9109024,35,0
9109025,21,0
9109026,0,0
9109027,52,1
9109028,32,0
9109029,113,1
9109030,10,0
9109031,1,0
9109032,271,1
9109033,4,0
9109034,2,0
9109035,1,0
9109036,8,0
9109037,15,0
9109038,264,1
9109040,51,1
9109041,56,1
9109042,21,0
9109044,0,0
9109045,230,1
9109046,51,1
9109047,6,0
9109048,587,1
9109049,161,1
9109050,31,0
9109051,83,1
9109052,9,0
9109053,221,1
9109054,11,0
9109055,7,0
9109056,27,0
9109057,6,0
9109058,13,0
9110001,26,0
9110002,13,0
9110003,16,0
9110004,230,1
9110005,18,0
9110006,19,0
9110007,17,0
9110008,1,0
9110009,16,0
9110010,260,1
9110011,9,0
9110012,6,0
9110013,0,0
9110014,20,0
9110015,47,0
9110016,0,0
9110017,211,1
9110018,7,0
9110019,3,0
9110020,26,0
9110021,81,1
9110022,171,1
9110023,25,0
9110025,13,0
9110026,19,0
9110027,13,0
9110028,94,1
9110029,18,0
9110030,8,0
9110031,18,0
9110032,27,0
9110033,33,0
9110034,28,0
9110035,39,0
9110036,2,0
9110037,168,1
9110038,24,0
9110039,66,1
9110040,34,0
9110041,63,1
9110042,10,0
9110043,44,0
9110044,1,0
9110045,5,0
9110046,72,1
9110047,9,0
9110048,282,1
9110049,2,0
9110051,4,0
9110052,32,0
9110053,600,1
9110054,114,1
9110055,33,0
9110056,520,1
9110057,117,1
9110058,105,1
9110059,11,0
9110060,96,1
9110061,1,0
9110062,8,0
9110063,13,0
9110064,13,0
9110065,130,1
9110066,23,0
9110067,81,1
9110069,49,0
9110070,14,0
9110071,3,0
9110072,111,1
9110073,26,0
9110074,56,1
9110075,9,0
9110076,133,1
9111001,47,0
9111002,15,0
9111003,3,0
9111004,266,1
9111005,37,0
9111006,13,0
9111007,198,1
9111008,31,0
9111009,12,0
9111010,357,1
9111011,9,0
9111012,5,0
9111013,6,0
9111014,125,1
9111015,48,0
9111017,194,1
9111018,21,0
9111019,0,0
9111020,22,0
9111021,56,1
9111022,1,0
9111023,27,0
9111024,6,0
9111025,180,1
9111026,522,1
9111027,15,0
9111028,35,0
9111029,1,0
9111030,11,0
9111031,39,0
9111032,10,0
9111033,25,0
9111034,61,1
9111035,112,1
9111036,112,1
9111037,145,1
9111038,175,1
9111039,5,0
9111040,78,1
9111041,0,0
9111043,74,1
9111044,4,0
9111045,154,1
9111046,13,0
9111047,36,0
9111048,82,1
9111049,12,0
9111051,2,0
9111052,12,0
9111053,16,0
9111054,14,0
9111055,1,0
9111056,1370,1
9111057,0,0
9111058,29,0
9111059,26,0
9111060,7,0
9111061,10,0
9111062,85,1
9111063,129,1
9111064,7,0
9112001,15,0
9112002,5,0
9112003,0,0
9112004,115,1
9112005,12,0
9112006,26,0
9112007,27,0
9112008,273,1
9112009,57,1
9112010,11,0
9112011,10,0
9112012,97,1
9112013,81,1
9112014,9,0
9112015,29,0
9112016,13,0
9112017,5,0
9112018,105,1
9112019,17,0
9112020,97,1
9112021,9,0
9112022,8,0
9112023,58,1
9112024,5,0
9112025,10,0
9112026,0,0
9112027,262,1
9112028,16,0
9112029,7,0
9112030,334,1
9112031,7,0
9112032,15,0
9112033,17,0
9112034,2,0
9112035,108,1
9112036,39,0
9112037,24,0
9112038,91,1
9112039,56,1
9112040,30,0
9112041,12,0
9112042,123,1
9112043,6,0
9112044,266,1
9112045,14,0
9112046,27,0
9112047,27,0
9112048,45,0
9112049,40,0
9112050,10,0
9112051,83,1
9112052,36,0
9112053,6,0
9112054,50,0
9112055,0,0
9112056,781,1
9112057,6,0
9112058,14,0
9112059,111,1
9112060,39,0
9112061,20,0
9112062,47,0
9112063,13,0
9112064,33,0
9112065,69,1
9112066,17,0
9112067,1,0
9112068,40,0
9112069,64,1
9112070,227,1
9112071,1,0
9112072,100,1
9112073,4,0
9112074,30,0
9112075,145,1
9112076,66,1
9201001,229,1
9201002,80,1
9201003,211,1
9201004,79,1
9201005,68,1
9201006,31,0
9201007,286,1
9201009,6,0
9201010,43,0
9201011,80,1
9201012,3,0
9201013,199,1
9201014,251,1
9201015,22,0
9201016,41,0
9201017,52,1
9201018,3,0
9201019,37,0
9201020,105,1
9201021,153,1
9201022,2,0
9201023,78,1
9201024,21,0
9201025,37,0
9201026,104,1
9201027,26,0
9201028,6,0
9201029,91,1
9201030,3,0
9201031,29,0
9201032,25,0
9201033,57,1
9201034,27,0
9201035,72,1
9201036,51,1
9201037,7,0
9201039,51,1
9201040,176,1
9201041,99,1
9201042,6,0
9201043,3,0
9201044,21,0
9201046,0,0
9201047,55,1
9201048,42,0
9201049,7,0
9201050,48,0
9201054,46,0
9201055,229,1
9201056,276,1
9201058,114,1
9201059,232,1
9201060,3,0
9201061,4,0
9201063,46,0
9201064,18,0
9201065,5,0
9201066,4,0
9201067,147,1
9201068,2,0
9201069,11,0
9201070,21,0
9201071,18,0
9201072,34,0
9201073,1,0
9201074,250,1
9201075,15,0
9201076,4,0
9201077,9,0
9201078,24,0
9201079,29,0
9201080,75,1
9202001,2,0
9202002,26,0
9202003,470,1
9202004,125,1
9202005,23,0
9202006,59,1
9202007,12,0
9202008,15,0
9202009,6,0
9202010,0,0
9202011,102,1
9202012,103,1
9202013,87,1
9202014,347,1
9202015,57,1
9202016,0,0
9202017,25,0
9202018,129,1
9202019,4,0
9202020,57,1
9202021,56,1
9202022,65,1
9202023,5,0
9202024,6,0
9202025,12,0
9202026,16,0
9202027,0,0
9202028,13,0
9202029,1,0
9202031,140,1
9202032,20,0
9202033,6,0
9202034,33,0
9202035,23,0
9202036,69,1
9202037,60,1
9202038,2,0
9202039,170,1
9202040,24,0
9202041,5,0
9202043,21,0
9202044,0,0
9202045,18,0
9202046,609,1
9202047,137,1
9202048,0,0
9202049,0,0
9202050,13,0
9202051,13,0
9202053,387,1
9202054,127,1
9202055,2,0
9202056,79,1
9202057,517,1
9202058,16,0
9202059,85,1
9202060,20,0
9202061,35,0
9202062,29,0
9202063,86,1
9202065,25,0
9202066,1,0
9202067,0,0
9202068,16,0
9202069,36,0
9202070,46,0
9202071,33,0
9202072,69,1
9202074,298,1
9202075,37,0
9202076,45,0
9202077,7,0
9202078,5,0
9202079,27,0
9202080,7,0
9202081,5,0
9202082,2,0
9202083,3,0
9202084,5,0
9202085,41,0
9202086,11,0
9202087,37,0
9202088,4,0
9202089,9,0
9202090,92,1
9202092,128,1
9203001,1,0
9203002,3,0
9203003,14,0
9203004,29,0
9203005,2,0
9203006,4,0
9203007,25,0
9203008,18,0
9203009,72,1
9203011,9,0
9203012,37,0
9203013,12,0
9203014,39,0
9203015,8,0
9203016,91,1
9203017,0,0
9203018,390,1
9203019,25,0
9203020,3,0
9203021,2,0
9203022,7,0
9203023,100,1
9203024,14,0
9203025,237,1
9203026,81,1
9203027,20,0
9203028,3,0
9203029,10,0
9203030,125,1
9203031,24,0
9203032,3,0
9203033,92,1
9203034,12,0
9203036,3,0
9203037,9,0
9203038,8,0
9203039,59,1
9203040,51,1
9203041,28,0
9203042,104,1
9203043,137,1
9203044,15,0
9203045,63,1
9203046,135,1
9203047,57,1
9203048,48,0
9203049,2,0
9203050,61,1
9203051,83,1
9203052,176,1
9203053,3,0
9203054,150,1
9203056,248,1
9203057,159,1
9203058,8,0
9203059,218,1
9203060,63,1
9203061,41,0
9203062,11,0
9203063,7,0
9203064,17,0
9203065,57,1
9203066,32,0
9203067,14,0
9203068,1,0
9203069,91,1
9203070,69,1
9203072,5,0
9203073,0,0
9203074,90,1
9203076,99,1
9203077,34,0
9203079,8,0
9203082,215,1
9203083,241,1
9203084,101,1
9204001,7,0
9204002,27,0
9204003,31,0
9204004,57,1
9204005,0,0
9204006,1,0
9204007,3,0
9204008,2,0
9204009,2,0
9204011,26,0
9204012,297,1
9204013,19,0
9204015,3,0
9204016,16,0
9204017,119,1
9204019,104,1
9204020,23,0
9204021,10,0
9204022,24,0
9204023,49,0
9204024,30,0
9204025,7,0
9204026,62,1
9204027,6,0
9204028,60,1
9204029,8,0
9204030,258,1
9204031,46,0
9204032,4,0
9204033,2,0
9204034,8,0
9204035,86,1
9204036,57,1
9204038,10,0
9204039,5,0
9204042,4,0
9204043,2,0
9204044,66,1
9204045,20,0
9204046,429,1
9204047,15,0
9204048,55,1
9204049,27,0
9204050,8,0
9204051,3,0
9204052,27,0
9204053,14,0
9204054,47,0
9204055,27,0
9204056,34,0
9204057,162,1
9204058,3,0
9204059,4,0
9204060,135,1
9204061,26,0
9204062,10,0
9204063,12,0
9204064,359,1
9204066,6,0
9204067,7,0
9204068,51,1
9204069,28,0
9204070,10,0
9204071,54,1
9204072,181,1
9204073,0,0
9204074,100,1
9204075,23,0
9204076,9,0
9204077,2,0
9204078,1,0
9204079,12,0
9204080,3,0
9204081,5,0
9204082,101,1
9204083,766,1
9204084,11,0
9204085,22,0
9204086,16,0
9204088,16,0
9204089,98,1
9204090,91,1
9204091,7,0
9204093,10,0
9204094,74,1
9204095,61,1
9204097,47,0
9204098,18,0
9204099,3635,1
9204100,9,0
9204101,19,0
9204102,299,1
9204103,68,1
9205001,14,0
9205002,4,0
9205003,68,1
9205004,120,1
9205005,12,0
9205006,19,0
9205007,22,0
9205008,46,0
9205010,7,0
9205011,117,1
9205012,24,0
9205013,4,0
9205014,64,1
9205015,140,1
9205016,23,0
9205017,2,0
9205018,51,1
